Dataset,Package,File,Number of alerts
upstream-repos,deno,No file,0
upstream-repos,dgraph,No file,0
upstream-repos,docker-selenium,No file,0
upstream-repos,docker,No file,0
upstream-repos,doctest,D:\bandit\upstream-repos\doctest\scripts\bench\bench.py,3
upstream-repos,doctest,D:\bandit\upstream-repos\doctest\.github\workflows\build_and_test.py,1
upstream-repos,double-conversion,No file,0
upstream-repos,druid,D:\bandit\upstream-repos\druid\distribution\bin\jar-notice-lister.py,7
upstream-repos,druid,D:\bandit\upstream-repos\druid\distribution\bin\generate-license-dependency-reports.py,4
upstream-repos,druid,D:\bandit\upstream-repos\druid\distribution\bin\find-missing-backports.py,2
upstream-repos,druid,D:\bandit\upstream-repos\druid\distribution\bin\get-milestone-prs.py,2
upstream-repos,druid,D:\bandit\upstream-repos\druid\distribution\bin\tag-missing-milestones.py,1
upstream-repos,dstat,D:\bandit\upstream-repos\dstat\plugins\dstat_condor_queue.py,1
upstream-repos,dstat,D:\bandit\upstream-repos\dstat\plugins\dstat_jvm_full.py,1
upstream-repos,dstat,D:\bandit\upstream-repos\dstat\plugins\dstat_jvm_vm.py,1
upstream-repos,dumb-init,No file,0
upstream-repos,e2fsprogs,No file,0
upstream-repos,efs-utils,D:\bandit\upstream-repos\efs-utils\src\mount_efs\__init__.py,2
upstream-repos,efs-utils,D:\bandit\upstream-repos\efs-utils\src\watchdog\__init__.py,1
upstream-repos,emacs,No file,0
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\kat\harness.py,5
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador\scout.py,2
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador\utils.py,2
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\docker\test-auth\auth.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\docker\test-shadow\shadow.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\docker\test-stats\stats-web.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador\ir\ir.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador\ir\irhttpmapping.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador\ir\irtcpmapping.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\ambassador_diag\diagd.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\tests\kat\t_tls.py,1
upstream-repos,emissary,D:\bandit\upstream-repos\emissary\python\tests\unit\test_acme_privatekey_secrets.py,1
upstream-repos,envoy-1.31,D:\bandit\upstream-repos\envoy-1.31\tools\code_format\check_format.py,6
upstream-repos,envoy-1.31,D:\bandit\upstream-repos\envoy-1.31\tools\proto_format\format_api.py,2
upstream-repos,envoy-1.31,D:\bandit\upstream-repos\envoy-1.31\tools\protoprint\protoprint_test.py,2
upstream-repos,envoy-1.31,D:\bandit\upstream-repos\envoy-1.31\configs\configgen.py,1
upstream-repos,envoy-1.31,D:\bandit\upstream-repos\envoy-1.31\contrib\kafka\filters\network\source\protocol\generator.py,1
