Dataset,Package,File,Number of alerts
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/inspect.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/install.py,5
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/search.py,0
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/wheel.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/configuration.py,5
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/distributions/sdist.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/distributions/wheel.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/exceptions.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/index/collector.py,5
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/index/package_finder.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/index/sources.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/locations/__init__.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/locations/_distutils.py,4
